time,approximation,exact
21.200000,2.134697,1.440759
21.300000,0.704804,1.412230
21.400000,2.106504,1.384266
21.500000,0.620543,1.356856
21.600000,2.081683,1.329988
21.700000,0.537276,1.303653
21.800000,2.060192,1.277839
21.900000,0.454868,1.252536
22.000000,2.041997,1.227734
22.100000,0.373189,1.203423
22.200000,2.027069,1.179594
22.300000,0.292106,1.156236
22.400000,2.015385,1.133341
22.500000,0.211490,1.110900
22.600000,2.006926,1.088902
22.700000,0.131213,1.067341
22.800000,2.001677,1.046206
22.900000,0.051146,1.025490
23.000000,1.999631,1.005184
23.100000,-0.028839,0.985280
23.200000,2.000785,0.965770
23.300000,-0.108870,0.946646
23.400000,2.005140,0.927901
23.500000,-0.189076,0.909528
23.600000,2.012703,0.891518
23.700000,-0.269584,0.873865
23.800000,2.023486,0.856561
23.900000,-0.350524,0.839600
24.000000,2.037507,0.822975
24.100000,-0.432024,0.806679
24.200000,2.054788,0.790705
24.300000,-0.514215,0.775048
24.400000,2.075356,0.759701
24.500000,-0.597230,0.744658
24.600000,2.099246,0.729913
24.700000,-0.681199,0.715460
24.800000,2.126494,0.701293
24.900000,-0.766259,0.687406
25.000000,2.157144,0.673795
